ID,Name,Description,Owner,Status
00.00.00,Inbox,Temporary workspace for uncategorized input,CRV,active
01.00.00,QiEOS,Governance Realm (Constitution + Law),CRV,active
01.10.00,Protocol,QiEOS governance & update process,QiEOS,active
01.20.00,QiCode,Life Code (Statutes of System & Self),QiEOS,active
01.20.00,QiCode Index,Master index of all Realms and Principles,QiCode,active
01.20.01,Realm 1 — Foundations,Core principles identity values boundaries,QiCode,active
01.20.01.01,1.01 Core Principles,Fundamental laws of awareness presence architecture,QiCode,active
01.20.01.02,1.02 Identity and Purpose,Law of self-knowledge and direction,QiCode,active
01.20.01.03,1.03 Values and Boundaries,Law of ethical limits and protection,QiCode,active
01.20.02,Realm 2 — Spirit and Faith,Belief trust presence prayer intention,QiCode,active
01.20.02.01,2.01 Belief and Trust,Law of faith and confidence,QiCode,active
01.20.02.02,2.02 Presence and Awareness,Law of mindful attention spiritual awareness,QiCode,active
01.20.02.03,2.03 Prayer and Intention,Law of conscious intention spiritual communication,QiCode,active
01.20.03,Realm 3 — Health and Wellbeing,Physical health mental clarity emotional balance,QiCode,active
01.20.03.01,3.01 Physical Health,Law of bodily care and vitality,QiCode,active
01.20.03.02,3.02 Mental Clarity,Law of clear thinking cognitive hygiene,QiCode,active
01.20.03.03,3.03 Emotional Balance,Law of emotional intelligence regulation,QiCode,active
01.20.04,Realm 4 — Learning and Development,Education skills creativity curiosity reflection growth,QiCode,active
01.20.04.01,4.01 Education and Skills,Law of continuous learning skill development,QiCode,active
01.20.04.02,4.02 Creativity and Curiosity,Law of creative expression inquisitive exploration,QiCode,active
01.20.04.03,4.03 Reflection and Growth,Law of self-assessment continuous improvement,QiCode,active
01.20.05,Realm 5 — Work and Creation,Purposeful work craft design entrepreneurship,QiCode,active
01.20.05.01,5.01 Purposeful Work,Law of meaningful aligned work,QiCode,active
01.20.05.02,5.02 Craft and Design,Law of excellence intentional creation,QiCode,active
01.20.05.03,5.03 Entrepreneurship,Law of value creation business building,QiCode,active
01.20.05.04,5.04 Target Market,Focus on accessible trustworthy support,QiCode,active
01.20.05.05,5.05 Services,Comprehensive support across five domains,QiCode,active
01.20.05.06,5.06 Business Model,Affordable memberships flexible options async-first,QiCode,active
01.20.05.07,5.07 Business Goals,Measurable commitments client success sustainability,QiCode,active
01.20.05.08,5.08 Organizational Structure,Entity structure domain affiliates identity,QiCode,active
01.20.06,Realm 6 — Relationships and Exchange,Communication community service leadership teamwork,QiCode,active
01.20.06.01,6.01 Communication,Law of clear honest effective communication,QiCode,active
01.20.06.02,6.02 Community and Service,Law of contribution mutual support,QiCode,active
01.20.06.03,6.03 Leadership and Teamwork,Law of collaborative leadership effective teamwork,QiCode,active
01.20.06.04,6.04 Social Media Guidelines,Authentic connection clear boundaries intentional presence,QiCode,active
01.20.07,Realm 7 — Technology and Innovation,Digital literacy automation AI integration systems,QiCode,active
01.20.07.01,7.01 Digital Literacy,Law of effective ethical technology use,QiCode,active
01.20.07.02,7.02 Automation and AI,Law of intelligent automation ethical AI use,QiCode,active
01.20.07.03,7.03 Integration and Systems,Law of systematic integration holistic design,QiCode,active
01.20.08,Realm 8 — Finance and Stewardship,Money mindset wealth sustainability giving investment,QiCode,active
01.20.08.01,8.01 Money Mindset,Law of healthy relationship money resources,QiCode,active
01.20.08.02,8.02 Wealth and Sustainability,Law of building sustainable wealth financial security,QiCode,active
01.20.08.03,8.03 Giving and Investment,Law of generous giving strategic investment,QiCode,active
01.20.09,Realm 9 — Ethics and Evolution,Integrity accountability justice balance evolution future,QiCode,active
01.20.09.01,9.01 Integrity and Accountability,Law of ethical consistency responsibility,QiCode,active
01.20.09.02,9.02 Justice and Balance,Law of fairness equity balanced judgment,QiCode,active
01.20.09.03,9.03 Evolution and Future,Law of continuous improvement future orientation,QiCode,active
01.20.10,Realm 10 — Cycles and Closure,Reflection release transformation renewal legacy design,QiCode,active
01.20.10.01,10.01 Reflection and Release,Law of letting go moving forward,QiCode,active
01.20.10.02,10.02 Transformation and Renewal,Law of intentional change rebirth,QiCode,active
01.20.10.03,10.03 Legacy and Design,Law of intentional impact lasting contribution,QiCode,active
01.20.11,Realm 11 — Oneness and Integration,Alignment coherence synthesis wisdom mirror principle,QiCode,active
01.20.11.01,11.01 Alignment and Coherence,Law of unified purpose consistent action,QiCode,active
01.20.11.02,11.02 Synthesis and Wisdom,Law of integrated understanding wise application,QiCode,active
01.20.11.03,11.03 The Mirror Principle,Law of reflection recognition unity,QiCode,active
01.30.00,Templates,Master templates (App/KB/Client),QiEOS,active
01.30.10,Apps,,QiCode,active
01.30.20,Client,,QiCode,active
01.30.30,Docs,,QiCode,active
01.30.30.60,Legal,,QiCode,active
01.30.40.00,KB,,QiCode,active
01.40.00,RAG,AI bots embeddings and automation layer,QiEOS,active
01.50.00,Meta,Indexes QiCodex and registry data,QiEOS,active
01.90.00,ARCH,Archive of retired QiEOS components,QiEOS,active
02.00.00,QiSelf KB,Personal Knowledge Base,CRV,active
02.10.00,START,Overview system map,CRV,active
02.20.00,ABOUT,Story identity,CRV,active
02.30.00,LIFE,Habits goals and reflections,CRV,active
02.40.00,OPS,Personal workflows and routines,CRV,active
02.50.00,DOCS,Personal writings letters thoughts,CRV,active
02.60.00,MEDIA,Visuals recordings transcripts,CRV,active
02.70.00,TECH,Automations scripts prompts,CRV,active
02.90.00,ARCH,Archived personal data,CRV,active
03.00.00,QiAlly KB,Business Knowledge Base,QiAlly,active
03.10.00,START,Mission purpose branding,QiAlly,active
03.20.00,ABOUT,Structure team org identity,QiAlly,active
03.30.00,OFFER,Services pricing strategy,QiAlly,active
03.40.00,OPS,SOPs process docs,QiAlly,active
03.50.00,DOCS,Contracts reports deliverables,QiAlly,active
03.60.00,MEDIA,Design marketing assets,QiAlly,active
03.70.00,TECH,APIs automations integrations,QiAlly,active
03.90.00,ARCH,Archived business content,QiAlly,active
04.00.00,Clients,Client Ecosystems,QiAlly,active
04.10.00,<slug>,Individual client container,QiAlly,active
04.11.00,EOS,Agreements & scope,QiAlly,active
04.12.00,KB,Client-specific knowledge base,QiAlly,active
04.13.00,SITE,Client site or PWA,QiAlly,active
04.90.00,ARCH,Archived client data,QiAlly,active
05.00.00,Apps,Application Layer,QiSuite,active
05.10.00,dev,Development environment,QiSuite,active
05.20.00,staging,Testing environment,QiSuite,active
05.30.00,live,Production environment,QiSuite,active
05.90.00,ARCH,Archived deployments,QiSuite,active
06.00.00,Data,Datasets & Indexes,QiSuite,active
06.10.00,qi_index,Core knowledge index,QiSuite,active
06.20.00,vector,Embeddings & RAG data,QiSuite,active
06.30.00,datasets,External datasets,QiSuite,active
06.90.00,ARCH,Archived data,QiSuite,active
07.00.00,Tools,Scripts & Utilities,QiSuite,active
07.10.00,python,Python utilities,QiSuite,active
07.20.00,node,Node.js utilities,QiSuite,active
07.30.00,shell,Shell scripts,QiSuite,active
07.90.00,ARCH,Archived tools,QiSuite,active
08.00.00,Docs,Manuals & Publications,QiAlly,active
08.10.00,Manuals,Guides handbooks,QiAlly,active
08.20.00,Brand,Logos templates style,QiAlly,active
08.30.00,Publications,External reports,QiAlly,active
08.90.00,ARCH,Archived documents,QiAlly,active
09.00.00,ARCH,Global Archive,QiOne,active
